run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,PaThWs,PaDesConst,ThDesConst,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
1010,KDE1010_PI,100.1252372221388,27.432510813782915,1.841876167892257,4.528263584146656,0.022642785050416673,0.24198485034870515,1.0427651489724694,1.9120960348139007,0.020478618242807833,0.35289026570699933,1.4908047229761134,2.948001738231368,0.035515622,0.6005864456976079,1400,3.6,3.6,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1011,KDE1011_PI,104.0174534099997,28.554960889942556,1.9188489831443178,4.708005307487172,0.022722149242395902,0.24176024526539894,1.0404918495836397,1.9137777090256194,0.020450184,0.35261709052036816,1.4706323126248901,2.9257923484226738,0.035588363179809075,0.6007052286921204,1400,3.8,3.8,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1012,KDE1012_PI,107.8791887583192,29.673038406328796,1.9916694453105777,4.886364843,0.022774864,0.24153882710614724,1.0403831712868534,1.9241226183953308,0.020422624442749674,0.35233873782641284,1.4547536188722874,2.919495005983126,0.035656107,0.6008236801768833,1400,4,4,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1013,KDE1013_PI,117.40901454997548,32.450347055158055,2.1743799650744187,5.321045672554068,0.022894466822148605,0.24222842230224098,1.051026387399301,1.9868416674609368,0.020369036691157735,0.3516254523216992,1.4286457602264602,2.9701215705824104,0.03580822,0.6011206768072674,1400,4.5,4.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1014,KDE1014_PI,126.77527742770305,35.20414129748606,2.366064430600807,5.774605186,0.023049586252761586,0.24293187821182555,1.0752499206083554,2.1022574892938146,0.020338261365888143,0.3508892037669077,1.4195856138291867,3.1027222602604114,0.035945152,0.6014152553676981,1400,5,5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1015,KDE1015_PI,90.25083403484126,24.605788723853582,1.6638387892545417,4.069189944063813,0.022579452816922856,0.24169961576655072,1.0632028367307607,1.9441244246120557,0.020580501130913482,0.35354669582306697,1.5593531656618096,3.073284723383053,0.035324243,0.6002876348723509,1400,3.1,3.1,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1016,KDE1016_PI,94.22634963657671,25.740160414432985,1.736198475859968,4.250271459906929,0.02257848,0.2415371469090635,1.0529005736239454,1.9247889325657648,0.020531652,0.35328908318267893,1.5293244154155718,3.0092496984016477,0.035399034,0.6004075446748816,1400,3.3,3.3,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1017,KDE1017_PI,98.16722387076783,26.86957960370355,1.807022374227033,4.431525527373382,0.022628739026512548,0.24182585204790064,1.0448355203185813,1.9144738373094528,0.020492835306756413,0.35302474117937294,1.5022503501105726,2.964031349877184,0.035475978419663136,0.6005269185151191,1400,3.5,3.5,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1018,KDE1018_PI,102.07524797451494,27.994295399289587,1.8803403451015466,4.6181327674856565,0.022672614588755993,0.24186638177526124,1.0414408050365498,1.9115329529462781,0.020464521431783598,0.35275435828440493,1.4803460734506184,2.934778393882924,0.035553122,0.6006458802977359,1400,3.7,3.7,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
1019,KDE1019_PI,105.95204085573897,29.114533548178773,1.9541880471077167,4.801281672330344,0.022746121,0.241561975,1.0400876151214413,1.9179705144445762,0.020435814065209532,0.352478529,1.462271046057621,2.9207533064863505,0.035621778733441266,0.6007644945756262,1400,3.9,3.9,0.021,0.097,0.24,0.0028,0.026,0.21,1.73,0.029,0.018,0.096
