run_ID,runname,MRT_Pa,MRT_Th,median_Pad,median_Thd,median_Pap,median_Thp,MAE_unc_weights_Pad,MAE_unc_weights_Thd,MAE_unc_weights_Pap,MAE_unc_weights_Thp,MAE_no_weights_Pad,MAE_no_weights_Thd,MAE_no_weights_Pap,MAE_no_weights_Thp,sigmaPaPOC,sigmaPaCa,sigmaPaOp,sigmaPaDu,sigmaPaNeph,sigmaThPOC,sigmaThCa,sigmaThOp,sigmaThDu,sigmaThNeph
1157,3P51157_PI,109.5746919,38.07454587051786,2.1478877004269292,6.167004860910798,0.020348005,0.22397168571662007,1.2256035480825969,2.287766820182123,0.021493477052087765,0.3685947880321458,1.6272500084239971,3.1901304622365743,0.035288169,0.6373482678381833,0.026568293,0.043223964,0.1086444091243345,0.013936904,0.037278187,0.2324432405565646,0.5274832429828739,0.146779385,0.064025441,0.006256488
1158,3P51158_PI,119.77706104572478,45.45590408629199,2.6047218896296447,7.6809471965322755,0.019219453294407152,0.2206453294604862,1.3969883260895377,3.204481132413098,0.022996835,0.37114962494819964,1.7110662881220915,4.325815106532734,0.035100046,0.6470556350331462,0.015115024,0.045191227,0.035124061,0.026033878,0.021477256,0.2218044178901837,0.070858781,0.145436969,0.062584263,0.079301622
1159,3P51159_PI,76.17975235211237,26.773481072096182,1.4062714804839338,4.3284996956518444,0.020103325609482133,0.2162029522187105,1.3747615332621088,2.335609096422344,0.023447822938558058,0.3696108120655915,2.0030591842440586,3.405729208607474,0.035148409,0.6378230092141635,0.033266724,0.050096608,0.1355105765581395,0.040999598,0.015057198,0.2369969015694582,0.9482079985620128,0.050989548,0.1175578986534603,0.024396457
1160,3P51160_PI,126.44859798643301,38.95249191799367,2.5638886589989447,6.718805976,0.019644306529539805,0.21662047788722932,1.1896411578436181,2.4474571016563966,0.020692147897988778,0.3696586672967982,1.4776632544888917,3.422509012716427,0.036341245130316426,0.6419226429890504,0.025150263,0.014490484,0.1188364460343001,0.007168574,0.050584867,0.1864330566974415,0.505549381,0.06375032,0.06336513,0.05203802
1161,3P51161_PI,87.91527454640254,46.29409231930427,1.668827499328775,8.280616933727929,0.020150883293133238,0.21377415488270496,1.3336717157830775,3.5644907042434735,0.024280084592405427,0.3547839313298352,1.8659418512274293,5.075153802752476,0.03629696,0.6491698568997352,0.013585442,0.030637674,0.1450141277088576,0.037125722,0.005344843,0.1521908101576436,0.9181305121186456,0.003498688,0.002438159,0.089819489
1162,3P51162_PI,80.23933213004678,25.674460372536085,1.5073796808992943,4.321560817,0.019687024978699435,0.21067695967261396,1.3168764485449593,2.0690940596121945,0.022741399564956195,0.36830080190101516,1.8991335674495187,3.1630131907802546,0.035634832037225006,0.6412486567088641,0.023869421,0.054203237,0.1500487471664828,0.025750903,0.051556146,0.1392242993726191,1.657324133457147,0.034954156,0.046268863,0.062046595
1163,3P51163_PI,75.23213628318638,27.443399088639662,1.497414618158876,4.537384524154673,0.018725770407796136,0.2139671428633902,1.406664858839877,1.9591487070774167,0.024088124,0.3651873728870512,2.0180863116682124,2.999136677732328,0.036090246620284774,0.6408275831332256,0.01313011,0.005326091,0.1092662191901949,0.04759329,0.046332211,0.1727011257010362,1.504252079442836,0.123539317,0.026134305,0.057888572
1164,3P51164_PI,90.08862698359461,25.412954808280887,1.6776403920259813,4.216721439525397,0.020638638,0.21480078471255593,1.3304283548642057,2.1655993747974422,0.025162998,0.3678233408802574,1.866791274155146,3.2959304191500673,0.03691248,0.6390620624869929,0.016066799,0.002520802,0.1531385820901641,0.043283718,0.000571108,0.1130410761628811,1.4634793819119996,0.1674661563464545,0.056603683,0.042347341
1165,3P51165_PI,61.95977146294633,31.619057597708093,1.1074785011183423,5.6496643118183565,0.019535923662605478,0.20972667921009225,1.469480075300604,2.0970112679472424,0.023399745733328804,0.3691565627486884,2.210029728,3.006791472184301,0.035215865,0.6423794463041659,0.042408122,0.022589423,0.1789258042027523,0.04891495,0.048872123,0.046664634,1.1917256790179571,0.067029868,0.045386546,0.071491604
1166,3P51166_PI,100.7909681285939,24.55645404830345,1.8436503520670382,3.9160322832489953,0.021292114507209046,0.2175293156625392,1.2497928640890248,2.3852722139338858,0.023733218112816156,0.3683444291224638,1.745699593139182,3.584240798076178,0.035742278,0.6376690471055841,0.035881217,0.046225228,0.1308823742945105,0.028417398,0.001427525,0.2441921009325963,0.9968245078069298,0.1559095679642018,0.1070985773668528,0.046308735
